Date,Hour,Market,Market Hour,Load,P Load Bid [MW]
2020-07-10,0,Day-ahead,0,bus4,28.0
2020-07-10,0,Day-ahead,1,bus4,27.0
2020-07-10,0,Day-ahead,2,bus4,27.0
2020-07-10,0,Day-ahead,3,bus4,26.0
2020-07-10,0,Day-ahead,4,bus4,26.0
2020-07-10,0,Day-ahead,5,bus4,28.0
2020-07-10,0,Day-ahead,6,bus4,32.0
2020-07-10,0,Day-ahead,7,bus4,36.0
2020-07-10,0,Day-ahead,8,bus4,40.0
2020-07-10,0,Day-ahead,9,bus4,42.0
2020-07-10,0,Day-ahead,10,bus4,44.0
2020-07-10,0,Day-ahead,11,bus4,45.0
2020-07-10,0,Day-ahead,12,bus4,46.0
2020-07-10,0,Day-ahead,13,bus4,45.0
2020-07-10,0,Day-ahead,14,bus4,44.0
2020-07-10,0,Day-ahead,15,bus4,43.0
2020-07-10,0,Day-ahead,16,bus4,44.0
2020-07-10,0,Day-ahead,17,bus4,48.0
2020-07-10,0,Day-ahead,18,bus4,52.0
2020-07-10,0,Day-ahead,19,bus4,54.0
2020-07-10,0,Day-ahead,20,bus4,52.0
2020-07-10,0,Day-ahead,21,bus4,48.0
2020-07-10,0,Day-ahead,22,bus4,42.0
2020-07-10,0,Day-ahead,23,bus4,36.0
2020-07-10,0,Day-ahead,24,bus4,36.0
2020-07-10,0,Day-ahead,25,bus4,36.0
2020-07-10,0,Day-ahead,26,bus4,36.0
2020-07-10,0,Day-ahead,27,bus4,36.0
2020-07-10,0,Day-ahead,28,bus4,36.0
2020-07-10,0,Day-ahead,29,bus4,36.0
2020-07-10,0,Day-ahead,30,bus4,36.0
2020-07-10,0,Day-ahead,31,bus4,36.0
2020-07-10,0,Day-ahead,32,bus4,36.0
2020-07-10,0,Day-ahead,33,bus4,36.0
2020-07-10,0,Day-ahead,34,bus4,36.0
2020-07-10,0,Day-ahead,35,bus4,36.0
2020-07-10,0,Day-ahead,36,bus4,36.0
2020-07-10,0,Day-ahead,37,bus4,36.0
2020-07-10,0,Day-ahead,38,bus4,36.0
2020-07-10,0,Day-ahead,39,bus4,36.0
2020-07-10,0,Day-ahead,40,bus4,36.0
2020-07-10,0,Day-ahead,41,bus4,36.0
2020-07-10,0,Day-ahead,42,bus4,36.0
2020-07-10,0,Day-ahead,43,bus4,36.0
2020-07-10,0,Day-ahead,44,bus4,36.0
2020-07-10,0,Day-ahead,45,bus4,36.0
2020-07-10,0,Day-ahead,46,bus4,36.0
2020-07-10,0,Day-ahead,47,bus4,36.0
2020-07-10,0,Real-time,0,bus4,28.0
2020-07-10,0,Real-time,1,bus4,27.0
2020-07-10,0,Real-time,2,bus4,27.0
2020-07-10,0,Real-time,3,bus4,26.0
2020-07-10,1,Real-time,1,bus4,28.0
2020-07-10,1,Real-time,2,bus4,27.0
2020-07-10,1,Real-time,3,bus4,27.0
2020-07-10,1,Real-time,4,bus4,26.0
2020-07-10,2,Real-time,2,bus4,28.0
2020-07-10,2,Real-time,3,bus4,27.0
2020-07-10,2,Real-time,4,bus4,27.0
2020-07-10,2,Real-time,5,bus4,26.0
2020-07-10,3,Real-time,3,bus4,28.0
2020-07-10,3,Real-time,4,bus4,27.0
2020-07-10,3,Real-time,5,bus4,27.0
2020-07-10,3,Real-time,6,bus4,26.0
2020-07-10,4,Real-time,4,bus4,28.0
2020-07-10,4,Real-time,5,bus4,27.0
2020-07-10,4,Real-time,6,bus4,27.0
2020-07-10,4,Real-time,7,bus4,26.0
2020-07-10,5,Real-time,5,bus4,28.0
2020-07-10,5,Real-time,6,bus4,27.0
2020-07-10,5,Real-time,7,bus4,27.0
2020-07-10,5,Real-time,8,bus4,26.0
2020-07-10,6,Real-time,6,bus4,28.0
2020-07-10,6,Real-time,7,bus4,27.0
2020-07-10,6,Real-time,8,bus4,27.0
2020-07-10,6,Real-time,9,bus4,26.0
2020-07-10,7,Real-time,7,bus4,28.0
2020-07-10,7,Real-time,8,bus4,27.0
2020-07-10,7,Real-time,9,bus4,27.0
2020-07-10,7,Real-time,10,bus4,26.0
2020-07-10,8,Real-time,8,bus4,28.0
2020-07-10,8,Real-time,9,bus4,27.0
2020-07-10,8,Real-time,10,bus4,27.0
2020-07-10,8,Real-time,11,bus4,26.0
2020-07-10,9,Real-time,9,bus4,28.0
2020-07-10,9,Real-time,10,bus4,27.0
2020-07-10,9,Real-time,11,bus4,27.0
2020-07-10,9,Real-time,12,bus4,26.0
2020-07-10,10,Real-time,10,bus4,28.0
2020-07-10,10,Real-time,11,bus4,27.0
2020-07-10,10,Real-time,12,bus4,27.0
2020-07-10,10,Real-time,13,bus4,26.0
2020-07-10,11,Real-time,11,bus4,28.0
2020-07-10,11,Real-time,12,bus4,27.0
2020-07-10,11,Real-time,13,bus4,27.0
2020-07-10,11,Real-time,14,bus4,26.0
2020-07-10,12,Real-time,12,bus4,28.0
2020-07-10,12,Real-time,13,bus4,27.0
2020-07-10,12,Real-time,14,bus4,27.0
2020-07-10,12,Real-time,15,bus4,26.0
2020-07-10,13,Real-time,13,bus4,28.0
2020-07-10,13,Real-time,14,bus4,27.0
2020-07-10,13,Real-time,15,bus4,27.0
2020-07-10,13,Real-time,16,bus4,26.0
2020-07-10,14,Real-time,14,bus4,28.0
2020-07-10,14,Real-time,15,bus4,27.0
2020-07-10,14,Real-time,16,bus4,27.0
2020-07-10,14,Real-time,17,bus4,26.0
2020-07-10,15,Real-time,15,bus4,28.0
2020-07-10,15,Real-time,16,bus4,27.0
2020-07-10,15,Real-time,17,bus4,27.0
2020-07-10,15,Real-time,18,bus4,26.0
2020-07-10,16,Real-time,16,bus4,28.0
2020-07-10,16,Real-time,17,bus4,27.0
2020-07-10,16,Real-time,18,bus4,27.0
2020-07-10,16,Real-time,19,bus4,26.0
2020-07-10,17,Real-time,17,bus4,28.0
2020-07-10,17,Real-time,18,bus4,27.0
2020-07-10,17,Real-time,19,bus4,27.0
2020-07-10,17,Real-time,20,bus4,26.0
2020-07-10,18,Real-time,18,bus4,28.0
2020-07-10,18,Real-time,19,bus4,27.0
2020-07-10,18,Real-time,20,bus4,27.0
2020-07-10,18,Real-time,21,bus4,26.0
2020-07-10,19,Real-time,19,bus4,28.0
2020-07-10,19,Real-time,20,bus4,27.0
2020-07-10,19,Real-time,21,bus4,27.0
2020-07-10,19,Real-time,22,bus4,26.0
2020-07-10,20,Real-time,20,bus4,28.0
2020-07-10,20,Real-time,21,bus4,27.0
2020-07-10,20,Real-time,22,bus4,27.0
2020-07-10,20,Real-time,23,bus4,26.0
2020-07-10,21,Real-time,21,bus4,28.0
2020-07-10,21,Real-time,22,bus4,27.0
2020-07-10,21,Real-time,23,bus4,27.0
2020-07-10,21,Real-time,24,bus4,26.0
2020-07-10,22,Real-time,22,bus4,28.0
2020-07-10,22,Real-time,23,bus4,27.0
2020-07-10,22,Real-time,24,bus4,27.0
2020-07-10,22,Real-time,25,bus4,26.0
2020-07-10,23,Real-time,23,bus4,28.0
2020-07-10,23,Real-time,24,bus4,27.0
2020-07-10,23,Real-time,25,bus4,27.0
2020-07-10,23,Real-time,26,bus4,26.0
